timestamp,frame_id,scenario,mode,regulator_reason,inference_ms,frame_ok,rtt_ms,bandwidth_kbps,error_rate_pct,cpu_load,ram_usage,gpu_load,gpu_temp
2026-05-21 14:20:37,1,ideal,LOCAL,cpu 14% < 60 and cloud not faster,4410.34,1,0.54,1051.16,0.0,13.56,71.09,0.0,44.5
2026-05-21 14:20:40,2,ideal,LOCAL,cpu 12% < 60 and cloud not faster,130.65,1,0.59,1109.83,0.0,11.86,83.25,0.0,44.5
2026-05-21 14:20:42,3,ideal,LOCAL,cpu 12% < 60 and cloud not faster,115.14,1,0.59,1125.76,0.0,11.86,83.28,0.0,44.5
2026-05-21 14:20:45,4,ideal,LOCAL,cpu 7% < 60 and cloud not faster,109.35,1,0.6,1131.07,0.0,6.78,83.3,0.0,44.5
2026-05-21 14:20:47,5,ideal,LOCAL,cpu 22% < 60 and cloud not faster,106.41,1,0.61,1126.12,0.0,21.67,83.39,0.6,44.5
2026-05-21 14:20:50,6,ideal,LOCAL,cpu 39% < 60 and cloud not faster,99.9,1,0.58,1133.29,0.0,38.98,83.49,2.5,44.5
2026-05-21 14:20:53,7,ideal,LOCAL,cpu 42% < 60 and cloud not faster,114.89,1,0.58,1126.34,0.0,41.67,83.78,10.1,44.5
2026-05-21 14:20:55,8,ideal,LOCAL,cpu 30% < 60 and cloud not faster,114.68,1,0.57,1103.63,0.0,29.51,83.74,0.6,45.0
2026-05-21 14:20:58,9,ideal,LOCAL,cpu 14% < 60 and cloud not faster,109.25,1,0.55,1132.15,0.0,13.79,83.86,0.0,45.0
2026-05-21 14:21:00,10,ideal,CLOUD,cpu hot (66% > 60),173.94,1,0.54,1133.41,0.0,66.1,83.94,0.6,45.0
2026-05-21 14:21:03,11,ideal,LOCAL,cpu 12% < 60 and cloud not faster,150.77,1,0.56,1116.05,0.0,11.86,83.88,0.0,45.0
2026-05-21 14:21:06,12,ideal,LOCAL,cpu 12% < 60 and cloud not faster,123.32,1,0.57,1131.31,0.0,12.07,83.87,0.0,45.0
